age_resp,asset_value,bank,base_age,busia,child,child_age,child_female,connected,connected_r,connected_rate,educ,electric_lighting,emi,energy_spending,energyspending,female,fraction_employed_all,gridelec_spending,hhid,hours_worked,housing,iron,kerosene_spending,knowledge_index,life_index,market,metered,mobilephone,moved,nemi,number_appliances,percapcons,population,r_crime_index,radio,reppid,round2,sibs,siteno,solar_shs,st_score_kcpe,st_studenttest,survey,symptoms_index,television,tot_hh_month_earn,transearly,treat_full,treat_low,treat_med,treated_all
33,2082.6509,0,30,0,0,,,1,,5.3333335,0,1,1.1790054,14.480433,9.2595596,0,50,1.894636,32,79,-.57668519,0,4.0599346,,.060736455,0,,1,0,.61972523,2,435.34946,404,.58609635,0,1104.32,1,3,1104,0,,,24oct2017,.74527425,0,22.735632,0,0,0,1,1
63,2902.6904,0,,0,0,,,0,,5.3333335,,0,-.013724259,7.3078814,5.1171255,1,0,0,35,42,1.6232474,0,1.2179803,,-.29645956,0,,1,0,.43154925,1,487.67929,404,.58609635,0,1104.35,1,0,1104,0,,,24oct2017,.74527425,0,18.94636,0,0,0,1,1
40,1179.8851,0,44,0,0,,,0,,5.3333335,0,0,-.51938868,2.0299673,32.408459,1,0,0,11,80,-.57668519,0,2.0299673,,-1.3680476,0,,1,0,.22394209,1,31.315626,417,.58609635,0,1105.11,1,5,1105,0,,,19oct2017,1.2070386,0,.27066228,0,0,0,0,0
63,1446.7419,0,59,0,0,,,1,,5.3333335,0,1,-.2592414,7.5334334,10.721597,0,0,3.4734993,13,80,-.66418463,0,2.0299673,,-1.3680476,0,,1,0,-1.3621961,4,62.680874,417,-.26507324,1,1105.13,1,2,1105,0,,,19oct2017,.74527425,1,0,0,0,0,0,0
75,1518.183,0,,0,0,,,0,,5.3333335,0,0,.42674232,11.773809,.97469056,0,0,0,14,80,-.57668519,0,2.4359605,,-.29645956,0,,1,0,-.96206117,1,506.67303,417,-.42794371,0,1105.14,1,0,1105,0,,,19oct2017,-1.1017835,0,0,0,0,0,0,0
35,175.02269,0,32,0,0,,,0,,5.3333335,0,0,1.0744606,18.269705,5.8481431,1,100,0,15,76,-.57668519,0,4.0599346,,.060736455,0,,1,0,-.48781717,2,276.8063,417,.58609635,1,1105.15,1,3,1105,0,,,19oct2017,-1.563548,0,14.20977,0,0,0,0,0
65,140.73752,0,,0,0,,,0,,5.3333335,,0,-.99618548,2.841954,3.4114168,1,0,0,16,66,-.57668519,0,2.841954,,-1.0108516,0,,0,0,-.074410126,0,21.535694,417,.58609635,0,1105.16,1,2,1105,0,,,19oct2017,.28350979,0,0,0,0,0,0,0
48,1004.5325,0,51,0,0,,,0,,5.3333335,0,0,.28296331,18.134373,4.8734527,1,0,0,17,80,-.57668519,0,.81198686,,.060736455,0,,1,0,.24685363,1,136.17696,417,.58609635,0,1105.17,1,3,1105,0,,,19oct2017,-.17825466,0,.85258621,0,0,0,0,0
49,1821.8989,1,41,0,0,,,0,,5.3333335,0,0,1.1432519,36.133415,8.7722139,0,25,0,19,80,-.57668519,0,8.1198692,,-.65365559,0,,0,0,1.0607795,3,501.66806,417,.58609635,1,1105.19,1,2,1105,1,,,19oct2017,1.2070386,1,22.104086,0,0,0,0,0
29,2837.9807,0,23,0,0,,,0,,5.3333335,0,0,-.33867058,4.0599346,5.3607984,1,0,0,20,42,-.57668519,0,4.0599346,,.060736455,0,,1,0,.34713006,3,323.73917,417,.58609635,0,1105.20,1,5,1105,0,,,19oct2017,-.17825466,1,1.3533114,0,0,0,0,0
