Experiment,Period,Subject,Value,BidC3_o,,BidNC,Market,BidC3,BidC6,Ncont,Size6,Vh,BidC6
4,17,2,3.11,2.5,.,2.67,0,2.5,2.75,1,0,30,2.75
4,17,3,4.18,3.18,.,3.43,0,3.18,3.68,1,0,30,3.68
4,17,4,12.78,8.08,.,8.08,1,8.08,10.08,1,0,30,10.08
4,17,5,22.48,19.08,.,20.08,1,19.08,20.08,1,0,30,20.08
4,17,6,21.85,20,.,20.5,1,20,20.85,1,0,30,20.85
4,18,1,9.59,7.71,.,8,1,7.71,7.77,1,0,30,7.77
4,18,2,10.65,9,.,9.25,0,9,9.5,1,0,30,9.5
4,18,3,19.5,14.5,.,15.75,1,14.5,17,1,0,30,17
4,18,4,7.19,6.09,.,6.09,0,6.09,6.89,1,0,30,6.89
4,18,5,9.69,8,.,7.999,1,8,8,1,0,30,8
4,18,6,7.3,7,.,7.05,0,7,7.05,1,0,30,7.05
4,19,1,21.4,17.8,.,13,1,17.8,18.03,1,0,30,18.03
4,19,2,0.5,0.49,.,0.49,0,0.49,0.49,1,0,30,0.49
4,19,3,3.56,3,.,3.12,0,3,3.25,1,0,30,3.25
4,19,4,13.35,9.35,.,9.85,1,9.35,11.15,1,0,30,11.15
4,19,5,21.33,19.5,.,20.03,0,19.5,20.03,1,0,30,20.03
4,19,6,9.89,9.05,.,9.3,1,9.05,9.3,1,0,30,9.3
4,20,1,21.73,17.37,.,14.45,0,17.37,18.75,1,0,30,18.75
4,20,2,11.25,10,.,10.25,0,10,10.5,1,0,30,10.5
4,20,3,1.68,1.18,.,1.3,1,1.18,1.43,1,0,30,1.43
4,20,4,20.08,15.08,.,17.58,1,15.08,18.58,1,0,30,18.58
4,20,5,29.8,22.8,.,23.8,0,22.8,23.8,1,0,30,23.8
4,20,6,0.11,0.1,.,0.1,1,0.1,0.1,1,0,30,0.1
4,21,1,0.28,0.27,.,0.27,0,0.27,0.27,0,0,30,0.27
4,21,2,17.17,14,.,15,1,14,16,0,0,30,16
4,21,3,26.09,21.09,.,21.84,1,21.09,23.59,0,0,30,23.59
4,21,4,11.79,8.79,.,8.99,0,8.79,10.09,0,0,30,10.09
4,21,5,7.64,6.5,.,6.5,0,6.5,6.5,0,0,30,6.5
